City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
441,Matara,LK,77.63,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
442,Najran,SA,77.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
445,Port Blair,IN,79.79,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
446,Tamale,GH,75.6,light rain,9.4008,-0.8393,Tap Hotel
447,Hyderabad,IN,72.91,mist,17.3753,78.4744,Star Inn
449,Gorontalo,ID,78.06,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
450,Sorong,ID,79.57,scattered clouds,-0.8833,131.25,waigo splash hotel
453,Hamilton,US,73.35,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
457,Vila Velha,BR,73.35,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
459,Centralia,US,70.0,overcast clouds,46.7162,-122.9543,Peppermill Inn
461,Quelimane,MZ,73.35,clear sky,-17.8786,36.8883,Hotel Flamingo
462,Guarapari,BR,73.29,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
464,Rawah,IQ,71.08,clear sky,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
466,Cochrane,CA,79.21,clear sky,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
468,Nan,TH,70.45,overcast clouds,18.8333,100.6667,สะเนียน2
471,Cumaral,CO,75.58,broken clouds,4.2708,-73.4867,Finca El Jecho
475,Eureka,US,73.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
479,Dawei,MM,74.26,overcast clouds,14.0833,98.2,Hotel Dawei
486,Harper,LR,75.13,light rain,4.375,-7.7169,Screensaver
488,Perumpavur,IN,76.91,drizzle,10.1333,76.4833,Hotel Travellers Inn
489,Le Port,RE,71.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
490,Alta Floresta,BR,76.82,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
493,Kawalu,ID,72.12,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
498,Sao Jose Da Coroa Grande,BR,76.28,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
500,Guerrero Negro,MX,73.96,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
501,Mitsamiouli,KM,75.13,clear sky,-11.3847,43.2844,Foyer ADM
511,Marang,MY,76.93,broken clouds,5.2056,103.2059,DBarakah Homestay
518,Matay,EG,74.12,clear sky,28.419,30.7792,Nag Aespen
519,Monrovia,LR,75.36,moderate rain,6.3005,-10.7969,Sunset Inn
522,Morristown,US,72.3,clear sky,36.214,-83.2949,Days Inn by Wyndham Morristown
523,Pringsewu,ID,72.93,broken clouds,-5.3582,104.9744,Urban Style by Front One
525,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
526,Halol,IN,76.23,overcast clouds,22.5,73.4667,"Hotel Valley - Rooms, Banquet, Party Plot"
536,Rio De Janeiro,BR,73.9,clear sky,-22.9028,-43.2075,Hotel Málaga
538,Shahr-E Babak,IR,70.57,clear sky,30.1165,55.1186,Duna Ecolodge
541,Gurupa,BR,77.41,moderate rain,-1.405,-51.64,Residencial DWD
547,Constantine,DZ,71.01,few clouds,36.365,6.6147,Grand Hotel Cirta
552,Mao,ES,70.36,few clouds,39.8885,4.2658,ARTIEM Capri
554,Pangai,TO,78.91,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
563,Odweyne,SO,77.47,broken clouds,9.4092,45.064,Eng Hiirey House
565,Dingle,PH,78.57,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
570,Mattru,SL,74.03,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
573,Superior,US,78.48,clear sky,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
575,Omboue,GA,76.39,broken clouds,-1.5746,9.2618,Hotel Olako
584,Maragogi,BR,76.23,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
587,Pa Sang,TH,77.02,overcast clouds,18.5262,98.9394,โรงแรม จามจุรี 99
591,Kolondieba,ML,75.52,overcast clouds,11.0882,-6.8926,Hotel Dakan
592,Bastia,FR,76.3,clear sky,42.6667,9.3333,Hotel Santa Maria
594,Cabedelo,BR,77.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
597,Paragominas,BR,74.48,broken clouds,-2.9667,-47.4833,INOVA
598,Rioja,AR,74.17,clear sky,-29.4111,-66.8507,Hotel Libertador
599,Male,MV,79.63,moderate rain,4.1748,73.5089,Hotel Octave Maldives
600,Nabire,ID,79.9,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
601,Kudat,MY,77.29,few clouds,6.8837,116.8477,Dream Garden Hotel
607,Shenjiamen,CN,77.22,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
613,Carutapera,BR,78.89,scattered clouds,-1.195,-46.02,Lidera
614,Sri Aman,MY,77.09,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
627,Bandarban,BD,75.11,overcast clouds,22.1965,92.2262,"Hilltop, Hafazgona, Bandarban"
628,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
630,Emerald,AU,70.34,overcast clouds,-23.5333,148.1667,The Irish Village
631,Mumford,GH,75.24,light rain,5.2618,-0.759,Spanish Villa
639,Codajas,BR,76.78,moderate rain,-3.8367,-62.0569,Hotel Tucunaré
646,Tuy Hoa,VN,76.23,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
660,Guhagar,IN,75.45,overcast clouds,17.4842,73.1929,Hotel Seawinds
662,Gidam,IN,72.61,moderate rain,18.9833,81.4,Dhanshree Lodge And DormItory
668,Kutum,SD,71.1,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
673,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
