City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Forestville,US,38.8451,-76.875,73.06,58,1,0.0,clear sky
69,Laguna,US,38.421,-121.4238,89.44,44,1,5.01,clear sky
70,East London,ZA,-33.0153,27.9116,65.17,87,25,14.74,scattered clouds
71,Deer Lake,CA,49.1667,-57.4316,60.66,77,75,6.91,broken clouds
72,Saskylakh,RU,71.9167,114.0833,34.43,98,100,10.74,overcast clouds
73,Lavrentiya,RU,65.5833,-171.0,33.28,84,91,5.64,overcast clouds
74,Cherskiy,RU,68.75,161.3,32.34,99,100,17.38,snow
75,Coquimbo,CL,-29.9533,-71.3436,60.53,72,0,14.97,clear sky
76,Bethel,US,41.3712,-73.414,69.49,61,1,5.75,clear sky
77,Dikson,RU,73.5069,80.5464,35.82,86,80,21.72,broken clouds
78,Barrow,US,71.2906,-156.7887,21.22,86,90,6.91,fog
79,Verkhovazhye,RU,60.7472,42.0465,46.09,97,100,7.34,overcast clouds
80,Urzhum,RU,57.1141,49.9996,45.05,88,100,11.21,overcast clouds
81,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,92,90,8.05,overcast clouds
82,Yarada,IN,17.65,83.2667,79.12,100,90,17.27,thunderstorm with heavy rain
83,Itarema,BR,-2.9248,-39.9167,78.85,82,53,16.78,broken clouds
84,Savonlinna,FI,61.8699,28.88,32.05,100,53,1.14,fog
85,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,86,75,14.97,light snow
86,Adrar,MR,20.5022,-10.0711,94.42,10,3,12.26,clear sky
87,Mahebourg,MU,-20.4081,57.7,69.26,100,75,16.11,light rain
88,Honningsvag,NO,70.9821,25.9704,46.74,90,100,17.18,light rain
89,Ambagarh Chauki,IN,20.7833,80.7167,74.25,95,100,9.98,overcast clouds
90,Bambous Virieux,MU,-20.3428,57.7575,69.22,100,75,16.11,light rain
91,Castro,BR,-24.7911,-50.0119,65.64,66,41,0.34,scattered clouds
92,Pilar,BR,-9.5972,-35.9567,80.53,93,9,5.73,clear sky
